17 52167 17 52167 3068 3068
19 131786 19 131786 6936 6936
36 184361 36 184361 5121 5121
39 184497 39 184497 4730 4730
5 793 5 793 158 158
34 183647 34 183647 5401 5401
37 183909 37 183909 4970 4970
35 184568 35 184568 5273 5273
3 172 3 172 57 57
31 183644 31 183644 5924 5924
40 184283 40 184283 4607 4607
36 183937 36 183937 5109 5109
0 0 0 0 0 0
42 184471 42 184471 4392 4392
36 184208 36 184208 5116 5116
37 184179 37 184179 4977 4977
2 104 2 104 52 52
42 184779 42 184779 4399 4399
42 184924 42 184924 4402 4402
40 184083 40 184083 4602 4602
0 0 0 0 0 0
40 183648 40 183648 4591 4591
33 183029 33 183029 5546 5546
35 183744 35 183744 5249 5249
5 793 5 793 158 158
30 181962 30 181962 6065 6065
